ID,max_umi,min_umi,max_feature,min_feature
GBB-17-21-B10-CNS-sl4___V52L19-037___D11,6029,65,2600,75
GBB-18-01-A9-sl12___V52L06-298___C3,7074,67,3002,57
GBB19-13-A13-sl5___V52L19-016___C9,4038,25,1991,36
GBB20-16-A13-sl10___V52L18-332___C1,2575,47,1519,57
GWF-17-24-10B-sl10___V52L18-402___B12,3787,52,1876,52
GWF-19-37-10B-sl10___V52L18-387___C5,2021,22,1141,25
GWF-20-50-10B-sl5___V52L18-332___C2,4097,39,2207,50
MILLERMI-AU-87-sl5___V52L19-037___D12,2285,149,1427,150
MILLERMI-N14-280-CSC___V52L18-276___D7,3867,152,2011,181
MILLERMINEUWM_344ZLM-sl10___V52L06-367___D1,10681,253,4455,264
NEUDW867LF9_SCC_10-sl3___V52L19-016___C10,1021,59,693,72
NEUUJ189PPH_SSC_2-5___V52L19-048___D5,3998,73,2243,134
GBB21-03-A12-sl5___V52L06-340___C12,5267,295,2311,241
GWF-17-23___V52L18-276___D6,12475,597,4682,602
GWF_19-35_10C-sl9___V52L06-367___D2,6007,145,3017,151
GWF-18-33-10B-sl11___V52L19-028___C7,4280,16,2222,18
